"Mas","Points:0","Points:1","Points:2","T","U:0","U:1","U:2","alphat","nuTilda","nut","p","pFluc","pMean","rho"
0.48058,1.165,-0.024201,0,279.73,0,0,0,0,0,0,86513,93.772,86419,1.075
0.47767,1.165,-0.024188,0,279.89,0,0,0,0,0,0,86674,-5.5091,86680,1.0764
0.47468,1.1651,-0.024174,0,280.15,0,0,0,0,0,0,86839,-79.51,86919,1.0774
0.47088,1.1651,-0.02416,0,280.56,0,0,0,0,0,0,87048,-113.07,87162,1.0785
0.93549,1.164,-0.024133,0,251.18,0,0,0,0,0,0,57616,-11708,69324,0.79731
0.94061,1.164,-0.024117,0,251.42,0,0,0,0,0,0,57288,-11787,69075,0.79202
0.94057,1.164,-0.024101,0,251.74,0,0,0,0,0,0,57291,-11721,69012,0.79105
0.93955,1.164,-0.024086,0,252.22,0,0,0,0,0,0,57356,-11585,68941,0.79044
0.93874,1.164,-0.02407,0,252.55,0,0,0,0,0,0,57408,-11364,68772,0.79012
0.93992,1.164,-0.024055,0,252.38,0,0,0,0,0,0,57332,-11079,68411,0.7896
0.94629,1.164,-0.024039,0,251.72,0,0,0,0,0,0,56924,-10805,67729,0.78604
0.96226,1.164,-0.024023,0,250.16,0,0,0,0,0,0,55906,-10663,66569,0.77675
0.99039,1.164,-0.024008,0,247.23,0,0,0,0,0,0,54129,-10642,64771,0.76095
1.0441,1.164,-0.023992,0,242.91,0,0,0,0,0,0,50805,-10935,61740,0.72673
1.1161,1.164,-0.023977,0,238.41,0,0,0,0,0,0,46516,-11670,58187,0.67799
1.179,1.1641,-0.023962,0,234.87,0,0,0,0,0,0,42941,-12614,55555,0.63537
1.2279,1.1641,-0.023948,0,232.42,0,0,0,0,0,0,40282,-13601,53883,0.60237
1.2645,1.1641,-0.023933,0,230.71,0,0,0,0,0,0,38367,-14541,52909,0.578
1.291,1.1641,-0.023918,0,230,0,0,0,0,0,0,37020,-15422,52441,0.55946
1.3094,1.1641,-0.023904,0,230,0,0,0,0,0,0,36102,-16226,52328,0.54559
1.3188,1.1641,-0.023889,0,230,0,0,0,0,0,0,35641,-16850,52491,0.53863
1.3195,1.1641,-0.023874,0,230.48,0,0,0,0,0,0,35608,-17237,52845,0.53701
1.3158,1.1641,-0.02386,0,231.66,0,0,0,0,0,0,35788,-17498,53286,0.53696
1.3081,1.1641,-0.023845,0,233.56,0,0,0,0,0,0,36167,-17624,53791,0.53824
1.2945,1.1641,-0.02383,0,235.53,0,0,0,0,0,0,36845,-17513,54358,0.54373
1.2785,1.1641,-0.023816,0,236.91,0,0,0,0,0,0,37652,-17186,54838,0.55241
1.2707,1.1641,-0.023801,0,237.35,0,0,0,0,0,0,38048,-16868,54916,0.55718
1.2734,1.1641,-0.023786,0,237.15,0,0,0,0,0,0,37910,-16605,54515,0.55563
1.2873,1.1641,-0.023772,0,236.05,0,0,0,0,0,0,37207,-16577,53784,0.54784
1.3112,1.1641,-0.023758,0,234.32,0,0,0,0,0,0,36014,-17033,53047,0.53421
1.3349,1.1641,-0.023745,0,233,0,0,0,0,0,0,34861,-17798,52659,0.52004
1.3524,1.1642,-0.023731,0,231.99,0,0,0,0,0,0,34031,-18687,52718,0.50987
1.3612,1.1642,-0.023717,0,231.8,0,0,0,0,0,0,33617,-19598,53214,0.5041
1.3629,1.1642,-0.023703,0,232.41,0,0,0,0,0,0,33539,-20456,53995,0.50162
1.36,1.1642,-0.02369,0,233.35,0,0,0,0,0,0,33674,-21209,54883,0.50159
1.3508,1.1642,-0.023676,0,234.7,0,0,0,0,0,0,34104,-21713,55817,0.50506
1.3339,1.1642,-0.023662,0,236.79,0,0,0,0,0,0,34914,-21868,56782,0.51248
